vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category
RsRJotOFB3Y,Let’s move forward while circling back. Let’s GO further.,https://www.youtube.com/watch?v=RsRJotOFB3Y,1465759,14,Tetra Pak,https://www.youtube.com/channel/UC-t7f_xjsnhscUQXEbI8O-g,23200,344,28
XzUpUt5tjOI,"Erlebe jeden Tag wie kein anderen, mit dem neuen Redmi Note 12 Pro. 📱⚡",https://www.youtube.com/watch?v=XzUpUt5tjOI,4557951,2,Xiaomi Deutschland,https://www.youtube.com/channel/UCnIofqwIyfeOQoAh8V4DLAg,13400,233,28
RCJ_UKedjAk,Bobo De Las 3000 &amp; David La Maravilla X Sisquet Salazar-A Diez Pasito De Ti &quot;FT.FlamencoJuanHeredia,https://www.youtube.com/watch?v=RCJ_UKedjAk,351,57,Flamenco Juan Heredia,https://www.youtube.com/channel/UC0qQu51axnxKTcZ-9C9bgtQ,81300,879,28
vmbiRotQAug,KAMAUU and Howie :15  l Middle School Mental Health l Ad Council,https://www.youtube.com/watch?v=vmbiRotQAug,4152093,6,Ad Council,https://www.youtube.com/channel/UClwkBPKzW8h_rfZWuG_kWjw,166000,394,28
sq6fJKDFasY,3 Ways to Earn Higher Profit with Data-driven Marketing Strategies,https://www.youtube.com/watch?v=sq6fJKDFasY,639450,2,Indosat Business,https://www.youtube.com/channel/UCo6oqJ2JanSVyzJLe_VyZFQ,1820,183,28
th8s-FASkv4,Unreal Engine C++ Game Development Course #gamedevelopment #games #unrealengine5 #controls #csharp,https://www.youtube.com/watch?v=th8s-FASkv4,6824,1,NL IT SOLUTION,https://www.youtube.com/channel/UCtI0U_O3RzLdg3yZRGP7nzQ,179,47,28
Vx_6UN3ITf4,Aplikasi penghasil usdt terlegit 2023 terbukti membayar 🔥🔥,https://www.youtube.com/watch?v=Vx_6UN3ITf4,5543,16,Mas Ali official,https://www.youtube.com/channel/UCVdQ31JcZbLbmWn4eejq8VA,34500,189,28
g2WHHboqdMg,Menang Banyak di Waktu Indonesia Nabung bareng TMRW!,https://www.youtube.com/watch?v=g2WHHboqdMg,5949720,14,TMRW Indonesia,https://www.youtube.com/channel/UCcoUFwHx74yQkmy4-fWxsLw,48400,90,28
LQdLn0klkyY,"Philips Blender 5000 Series, Blender Juara Kualitas Wah Kini Lebih Murah",https://www.youtube.com/watch?v=LQdLn0klkyY,10587316,7,Philips Home Living,https://www.youtube.com/channel/UCjWfiExUU--rqb0Y7JkhLPw,70900,1324,28
RtJZm0ESck4,Nuevo vivo V25e 🤩🤳 Retratos deslumbrantes con OIS,https://www.youtube.com/watch?v=RtJZm0ESck4,178838,12,vivo mobile mx,https://www.youtube.com/channel/UCURvSEvrWow6lkCc97VuAng,6760,142,28
BCckM8qIfrQ,Lava Agni 2 First Sale Unit - Review !,https://www.youtube.com/watch?v=BCckM8qIfrQ,15096,2461,Perfect Gadget,https://www.youtube.com/channel/UCJAWXtmA7f0azO1_uvO-HlA,277000,677,28
Izj2aJOaOW8,Galaxy x BTS: A Piece of Cake 🍰: Auto Straighten | Samsung,https://www.youtube.com/watch?v=Izj2aJOaOW8,1125893,179591,Samsung,https://www.youtube.com/channel/UCWwgaK7x0_FR1goeSRazfsQ,6390000,1804,28
BXOug6Ysvik,OMG abhi se etna khatarnakh public reaction😱 homemade supercar🔥,https://www.youtube.com/watch?v=BXOug6Ysvik,24341,5992,Tanna Dhaval,https://www.youtube.com/channel/UCYzSn5Cwfh4sEgAJ0uzJksQ,383000,546,28
G8b4UZIcTfg,Ready to build your perfect eCommerce website? (It&#39;s free!),https://www.youtube.com/watch?v=G8b4UZIcTfg,4531677,291,Odoo,https://www.youtube.com/channel/UCkQPikELWZFLgQNHd73jkdg,154000,2809,28
PE08NNUKN4k,[18km밖에서] 누리호 3차 발사 순간을 당겨보았습니다 3rd Nuri Rocket filmed 18km away,https://www.youtube.com/watch?v=PE08NNUKN4k,4427,594,나쫌NaZZom,https://www.youtube.com/channel/UCSdbIEFV-JYtauTkRQHkGtw,212000,255,28
MZV5ADZqwis,Come agisce la cocaina sui nostri corpo e cervello? Gli effetti dal punto di vista scientifico,https://www.youtube.com/watch?v=MZV5ADZqwis,117559,11776,Geopop,https://www.youtube.com/channel/UCx7EWheHmjCW3vX8K2d09vg,1230000,703,28
2JgV1-JF0Ls,Flat Earther is Comprehensively Proven Wrong,https://www.youtube.com/watch?v=2JgV1-JF0Ls,14051,2208,SciManDan,https://www.youtube.com/channel/UCRtsZ5Iak9wSLsQLQ3XOAeA,479000,682,28
bAaHRr3k3aU,"Buang Drone Lain, Pake Ini Aja‼️ DJI Mavic 3 Pro, Kamera Hasselblad Terbang",https://www.youtube.com/watch?v=bAaHRr3k3aU,3783,227,DHIARCOM,https://www.youtube.com/channel/UC4fn1t8clOY76_BeWNJg4TQ,2270000,1373,28
Snl2sUxPXrU,Dapat FREE RAM 50%+ Root/Non root #shortsvideo,https://www.youtube.com/watch?v=Snl2sUxPXrU,6174,213,BANG LEvV,https://www.youtube.com/channel/UCHepqylvjYSUcoxwu75uCmg,54900,736,28
6LfXfKZ8oas,We #millennials in the #early2000s tried to be extra emo with our mechanical pencils! #nostalgia,https://www.youtube.com/watch?v=6LfXfKZ8oas,401706,45644,MelissaKristinTV - DigitalMunchies,https://www.youtube.com/channel/UCtqrHdplUzE9VYrn5k7MmZw,517000,255,28
Rcg-JJIFkgI,Top 10 Memorial Day Deals 2023,https://www.youtube.com/watch?v=Rcg-JJIFkgI,217690,13373,The Deal Guy,https://www.youtube.com/channel/UC5Qbo0AR3CwpmEq751BIy0g,2320000,1465,28
AgpOAqmN-ow,"Tesla &amp; Ford Just Announced Massive Partnership, Cybertruck Interior Leak, Hardware 4 Rollout",https://www.youtube.com/watch?v=AgpOAqmN-ow,58511,4774,Tesla Daily,https://www.youtube.com/channel/UCgYkuL87rUwiBl7tqfN53Eg,231000,883,28
LzGzrOm7EP0,Major Problem with Smartphones Right Now !,https://www.youtube.com/watch?v=LzGzrOm7EP0,467041,39558,Tech Burner,https://www.youtube.com/channel/UCXUJJNoP1QupwsYIWFXmsZg,10500000,1113,28
x2BQyZorSQc,Aliens &amp; Espionage: Crop Circles and the CIA Coverup | They Don&#39;t Want You to Know,https://www.youtube.com/watch?v=x2BQyZorSQc,240671,29826,The Why Files,https://www.youtube.com/channel/UCIFk2uvCNcEmZ77g0ESKLcQ,2120000,179,28
